Date,Event name,Venue,Lineup
2018-09-06,akustik[mecra]: Cihan Mürtezaoğlu - Konser,[mecra],Cihan Mürtezaoğlu
2018-09-07,"Hedonutopia [Live], Kutay Soyocak & Taner Yücel & Bedsurfer",[mecra],"Hedonutopia, Kutay Soyocak & Taner Yücel, Bedsurfer"
2018-09-08,Tutan,Zor,""
2018-09-09,Exhib/IT: Zoo Collection - Ghazaal Bagheri,[mecra],Ghazaal Bagheri
2018-09-10,Back In Town: Bärtaub,[mecra],"Murmur, BÄRTAUB"
2018-09-11,Exhib/IT: Zoo Collection - Ghazaal Bagheri,[mecra],Ghazaal Bagheri
2018-09-12,Plaj (Live) Taha Kiremitçi DJ Set,[mecra],"Plaj, Taha Kiremitçi"
2018-09-13,Exhib/IT: Zoo Collection - Ghazaal Bagheri,[mecra],Ghazaal Bagheri
2018-09-14,Mercan Dede,Zor,Dj Arkin Allen
2018-09-15,Summer Night Sessions: Tufan Demir [DJ Set],[mecra],"Emine Topal, Tufan Demir"
2018-09-16,Chill-Out Festival Istanbul 2018,Garden Fiesta,"Abstraxion, Alsarah & The Nubatones, Crussen, Detmolt, Dolph, Dunwich, El Buho, El Mundo, Elfenberg, Fulltone, Gorje Hewek & Izhevski, Heimat, Hrag Mikkel, Ida Daugaard, Jonathan Bree, Karpov Not Kasparov, Kaya Project, Kerala Dust, Lindstrøm, Matthew Dekay, Princess Chelsea, R Vincenzo, Satori & The Band From Space, Stavroz, Thylacine, Viken Arman, Zimmer, Alba, Herhangi, kozmonotosman, Mr. Zula, Mystic Flow, Onur Diner, cantanca"
2018-09-19,Cava Grande,Zor,""
2018-09-20,Misipipi,Zor,"Merve Baykal, Görken Barçın"
2018-09-21,Beton Orman presents: Afro Fever [C Fyah / DJ Tifa / Mr.Vertigo],[mecra],"C fyah, DJ Tifa, Mr.Vertigo"
2018-09-22,SNS Season Finale!: Mr.Sur + Y.Unan + Sallı Lovely Friends,[mecra],"MR.SUR, Y.UNAN, SALLI, Sevval Kilic, Arin Ariman, Deepinoza, Dogukansayan, Ercan Usta"
2018-09-23,Club-Mate presents - Sundates: March Live,[mecra],"Doğan Aktay, Aytun ve Can Menek, MARCH LIVE, Fakı Baba"
2018-09-26,Red Bull Music Festival Istanbul: Round Robin,Avusturya Başkonsolosluğu,"Murat Ertel, Ah! Kosmos, Cahit Berkay, Chiltzy, Dr. Das, Gökçe Gürcay, Eralp Güven, Hans Joachim Irmler, Lydia Kavina, Şirin Pancaroğlu, Aybike Çelik Özbey, Okay Temiz & Hakan Vreskala"
2018-09-27,Gurko,Zor,""
2018-09-28,Meddah 8: Phuong-Dan,Arkaoda,""
2018-09-29,Ece Özel,Zor,""
2018-09-30,Red Bull Music Festival Istanbul 2018,Various Venues - IstanbulVarious Venues - Istanbul,"The Bug feat. Miss Red, Murat Ertel, Dopplereffekt, Ah! Kosmos, Pan Daijing pres. Fist Piece, Little Simz, Kamufle ve Dostları, . and many more"
2018-10-03,Hünkar b2b Iz,Zor,"Hünkar, Iz"
2018-10-04,Elif Koçman,Zor,""
2018-10-05,Fill The Void #6,Peyote Nevizade,"555-5555, Pyon, Jtamul & Millenial Hug, Osilator, kuduban, Blank Wall Season, Boethius, Fosil & RedRice, O.O.O, ŞARBON, Einbau, BasicDisarm, Mr. Anderson, Leviathan, Hatice Yüksel, Mantis, Anıl Kırkyıldız, Kerem Ergener, Ceylan Akçar & Melda Akandere, Wilsondub, Can Aydınoğlu & Umut Çetin, Ali Gemm & Kozmik Yıkım, Cihan Bilgin ve Galaksiler"
2018-10-06,Orkun Bozdemir,Zor,Orkun Bozmedir
2018-10-10,Aran Mo,Zor,""
2018-10-11,Void,Zor,""
2018-10-12,Aliço // Oner,Zor,"Aliço, Oner"
2018-10-13,(((Emre))) // Emre Özalp,Zor,")), Emre Özalp"
2018-10-16,Concert: Annenmaykantereit - Istanbul,[mecra],AnnenMayKantereit
2018-10-17,Dimitrios,Zor,""
2018-10-18,Sevil Soylu,Zor,""
2018-10-19,Aleksandir (Live),Arkaoda,"Aleksandir, Emre Can Swim"
2018-10-20,Emotional Meltdown presents: Science // Ggman Golem Semconer,PIXIE Underground,"GGman, Golem, SemConer"
2018-10-21,Sundates at Terrace: Workshops - Coctail - Party,[mecra],"Ritmi Keşfettmek, Yürütücü, Torab MAJLESİ a.k.a Groovist, Cajona Giriş, Yürütücü, Mehmet Mert BAYCAN, DJ Set, Engin Akkan"
2018-10-24,Roter Mond at Menthanova,Ravouna 1906,"Furkan Kurt, Yalim Erdiniz, Ergin Elvan"
2018-10-25,Aliço // Hünkar,Zor,"Aliço, Hünkar"
2018-10-26,Erel Eryürek // Oner,Zor,"Erel Eryürek, Oner"
2018-10-27,Barış K // Senol,Zor,""
2018-10-28,Charlotte de Witte,Studio,"Belçika'nın ve Avrupa'nın son yıllardaki en başarılı DJ ve prodüktürlerinden biri olarak anılan, güçlü ve melodik techno setiyle 28 Ekim'de Zorlu PSM STUDIO'da!"
2018-10-31,Gurko & Alphadub,Zor,"Gurko, Alphadub"
2018-11-01,Monkey Project presents Rafael Cerato,Flamme,Rafael Cerato
2018-11-02,José Noventa // Cagan Tunali,Zor,"Jose Noventa, Cagan Tunali"
2018-11-03,Ipek Ipekçioğlu,Zor,DJ Ipek
2018-11-07,"I.Mpty, 9vss & Elif Koçman",Zor,"I.mpty, 9VSS, Elif Koçman"
2018-11-08,Akustik[mecra]: Ülkü Aybala Sunat & Eylül Biçer,[mecra],"Ülkü Aybala Sunat, Eylül Biçer"
2018-11-09,Fuchs,Zor,""
